S,T,W
Copenhagen,Budapest,4.8146263798828
Paris,Helsinki,4.120089615103872
Budapest,Helsinki,28.10295727933511
Rome,Vienna,29.25053010005832
Paris,Vienna,9.22139981256565
Helsinki,Vienna,21.960275351384087
Copenhagen,Rome,10.915978572543251
Rome,Helsinki,22.81289077117676
Helsinki,Rome,19.996014519602884
Copenhagen,Vienna,12.853605713787232
Vienna,Copenhagen,31.289921970880417
Vienna,Rome,19.88940530218061
Berlin,Copenhagen,25.49884446978903
Vienna,Paris,30.546266678423784
Budapest,Berlin,32.96017863820947
Helsinki,Paris,33.148693016809894
Vienna,Helsinki,24.441170859636557
Budapest,Paris,34.945767394721166
Copenhagen,Helsinki,13.160038396111187
Berlin,Helsinki,13.980288790327602
Rome,Copenhagen,34.86586387176463
Berlin,Vienna,14.523805566298911
Paris,Copenhagen,17.74429110887324
Copenhagen,Berlin,25.579315010790758
Rome,Budapest,30.75552452704271
Budapest,Rome,20.044308344640836
Budapest,Copenhagen,37.18133503749045
Budapest,Vienna,24.062612658734302
Vienna,Berlin,29.740710511392713
Helsinki,Berlin,32.86432652972842
Rome,Berlin,32.064303869092335
Helsinki,Copenhagen,33.32758020149475
Paris,Budapest,4.118152427484385
Copenhagen,Paris,41.573617389558066
Helsinki,Budapest,8.006218609238797
Berlin,Budapest,8.803168644456735
Rome,Paris,39.33664084027348
Berlin,Paris,36.911937168474665
Paris,Berlin,17.451238017362623
Paris,Rome,10.417727583287538
Vienna,Budapest,20.26729948755044
Berlin,Rome,11.860387692390484
